"","sourceid","dstid","hod","mean_travel_time","standard_deviation_travel_time","geometric_mean_travel_time","geometric_standard_deviation_travel_time"
"6519152",1058,1542,15,1082.19,372.61,1033.3,1.34
"6443560",2367,1032,19,277.13,147.59,255.33,1.45
"2904683",565,1721,16,2220.57,363.32,2190.55,1.18
"10414727",1567,1851,23,1260.52,386.47,1213.15,1.3
"5878489",1253,2171,17,788.65,260.09,746.82,1.4
"2298028",2620,536,20,1925.43,398.5,1885.36,1.23
"4351855",1939,702,20,519.04,264.46,471.73,1.51
"654000",549,1252,6,717.5,244.49,681.96,1.36
"9282942",186,1332,7,3237,521.57,3197.98,1.17
"5801392",762,2187,18,2105.63,175.37,2098.58,1.08
"10905466",321,980,6,1372.43,125.78,1366.93,1.09
"1802113",2200,1032,18,1155.75,525.12,1083.77,1.38
"10733310",2227,1550,8,870.88,394.77,790.38,1.55
"4453209",2611,466,14,373.01,203.91,313.61,1.95
"9328058",264,2349,10,1729.57,524.28,1664.63,1.3
"6158435",2634,1244,18,2183.73,662.94,2083.55,1.36
"7379518",678,2441,19,1785.16,432.21,1735.42,1.27
"1953596",1107,217,20,766.69,202.3,741.23,1.3
"518946",812,323,20,1038.56,245.29,1012.39,1.25
"2382760",2318,209,18,316.74,228.74,276.33,1.61
"8253260",2677,2171,22,842.65,266.42,805.69,1.34
"3195558",209,868,18,861.58,226.33,837.4,1.26
"4385166",195,66,8,114.04,155.75,39.2,5.21
"3156935",433,471,11,1623.15,286.18,1602.89,1.16
"7993886",817,2510,18,618.38,265.97,566.36,1.52
"10965352",1562,2665,20,321.74,173.63,284.09,1.63
"100321",1757,1097,6,2011.82,324.58,1986.89,1.17
"9708163",957,1563,16,795.21,300.02,748.03,1.41
"3583625",1100,814,1,226.97,182.54,196.91,1.58
"4740843",1888,1302,17,1234.58,308.17,1202.2,1.25
"4309773",345,1338,4,588.31,291.52,536.07,1.5
"4705566",1555,2222,23,1749.65,394.14,1711.86,1.22
"6008570",1457,1567,15,3136.93,1443.71,2923.83,1.41
"9450449",859,1771,7,120.85,132.73,65.1,3.65
"5742230",1537,2480,6,1837.13,316.67,1809.25,1.19
"9565246",1868,447,19,2079.21,534.49,2012.7,1.29
"6461450",609,1209,11,2589.92,343.3,2569.7,1.13
"5372128",2503,2525,4,1940,417.6,1899.64,1.22
"5542766",186,2456,23,2337.88,469.9,2297.09,1.2
"10423546",2708,1690,11,2438.13,282.28,2421.69,1.12
"8890365",1270,393,22,1550.75,353.44,1505.71,1.29
"9400218",562,1234,11,1338.43,556.88,1241.59,1.45
"1058855",1557,2236,22,1158.65,429.73,1080.91,1.48
"3714855",1067,2214,7,1507.85,388.12,1453.14,1.33
"6844155",1310,91,9,2360.11,705.16,2267.94,1.32
"7795399",1492,1586,15,1084.64,389.94,1027.88,1.37
"6165706",921,1728,11,2735.08,313.68,2717.77,1.12
"11011949",1646,1742,11,737.07,269.69,694.91,1.4
"8973272",834,2016,13,2020.71,355.83,1988.96,1.2
"6125715",2275,1063,3,2357.17,463.64,2318.51,1.19
"5077221",1929,1066,17,3610.68,1357.37,3349.52,1.48
"10435724",1686,868,20,1658.03,327.61,1625.65,1.22
"10524942",2601,2367,23,2043,688.45,1926.21,1.41
"589507",1083,1557,0,2151.89,502.5,2091.36,1.27
"6263683",1528,2466,17,2278.89,507.59,2219.41,1.27
"3579731",69,787,14,156.41,131.09,116.8,2.36
"9327534",2697,86,11,1178.93,370.57,1126.43,1.35
"10416313",91,2395,20,1578.27,401.48,1534.82,1.26
"1547679",954,682,14,3495.14,475.06,3464.51,1.14
"7599293",1830,2466,18,3506.87,689.61,3439.45,1.22
"4271585",1514,1443,23,1775.38,378.42,1741.08,1.21
"8949332",380,1827,1,638.53,178.98,616.55,1.29
"2733657",1755,194,17,3207.33,970.14,3067.85,1.35
"5252322",1759,285,17,3442.04,817.74,3357.51,1.25
"730978",1903,715,0,601.1,260.25,553.46,1.49
"10265271",141,1653,10,2640.32,482.84,2602.41,1.18
"3655167",347,1337,16,663.85,359.67,594.44,1.56
"10889932",1574,1308,18,2953.42,756.76,2863.13,1.28
"4660053",931,1331,1,831.33,237.72,798.16,1.33
"407070",695,1827,23,744.03,245.94,714.73,1.3
"624268",394,2146,8,1876.56,268.67,1855.95,1.16
